;;;;
;;;;
;Tuesday 22, 1830-1930;;;
;KEYNOTE;;;
; Eric F. Clarke;In the wake of Henry Shaffer: approaches, events, togetherness;;Abstracts and photos found here: https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/keynote-speakers/index.html
;;;;No pre-recorded video here, so this Sheet is not relevant to Thomas/Wenbo
;;;;
;;;;
;;;;
;Friday 25, 1600-1700;;;
;KEYNOTE ;;;
;Sylvie Nozaradan;Mapping between sound, brain and behavior for understanding musical meter;;
;;;;
;;;;
