;;;;;;;;;
;;;;;Posters are uplpaded here https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/;Videos are named with the EasyChair number followed by the first author's last name;;;
Easychair#;Poster Session;Poster number (within session);authors;title;keywords;abstract;YouTube link;Vortex link;
112;1;1;Dana Swarbrick, Cagri Erdem, Finn Upham, Kayla Burnim and Alexander Refsum Jensenius;The MusicLab App – Exploring the usage of mobile phones to measure audience movement and respiration;"concerts
movement
motion
embodiment
rhythm
entrainment
respiration";"The MusicLab App was developed to provide researchers with a tool for measuring participants’ motion. The mobile application leverages participants’ own smartphones and records data from the accelerometer, gyroscope, and GPS to measure motion, orientation, and location. So far, the open-source mobile application has been used during two virtual concerts and in May 2021, the application will be used at an in-person concert. The virtual concerts featured the genres of Algorave dance music and classical-Arabic fusion. The in-person concert will feature a classical quartet and since classical music audiences typically sit still during performances, we aim to measure respiration. 

The aim of this research is to examine different motion features that can be measured with the MusicLab App. In particular, we aim to measure quantity and periodicity of motion and respiration. We also aim to develop open-source tools that researchers can use to analyze the data provided by the application. 

We collected pilot data from 12 participants during two virtual concerts. To enable synchronization between the musical sound and the motion data during the virtual concerts, participants were instructed to shake their phones when they first heard the music. Participants then placed the phones on their upper bodies. During the in-person concert, participants will be provided with a phone holder that will position their phones on their chests.

To assess the accuracy of the mobile phones’ sensors, we will conduct a comparison between  the MusicLab App’s data and a high-resolution motion capture system to assess the accuracy and precision across different phone models and across a variety of contexts aiming to measure naturalistic music-related motion and respiration.  

Data collection and analysis are ongoing. Quantity of motion and periodicity will be extracted from the acceleration data and compared with musical features. Entrainment to the music and to other audience members and performers will also be examined using a variety of analysis methods including cross-correlations and recurrence analyses. The pilot data and comparison with the motion capture system will allow us to optimize the application prior to the in-person concert.

The MusicLab App aims to equip researchers with the tools needed to measure and analyze motion in a variety of contexts—especially musical experiences. The software and the analysis techniques developed through this project contribute to the mandate of open science.";https://youtu.be/cLAE5Gc_4hs;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%93112%20swarbrick.mp4?vrtx=view-as-webpage;
29;1;2;Andrew Chang, Xiangbin Teng, M. Florencia Assaneo and David Poeppel;Does the amplitude modulation of a sound determine its categorization as speech or music?;"Amplitude modulation (AM)
Speech perception
Music perception
Categorization";Despite our increasingly rich understanding of how humans process speech and music, surprisingly little is known about how they are treated as different auditory signals in the first place. From the perspective of acoustics, the properties of the signals can be differentiated. It has been shown that speech and music tend to have different amplitude modulation (AM) rates. Specifically, the AM rate of speech peaks between 4 and 5 Hz, while the AM rate of music tends to be slower, emphasizing modulation rate around 2 Hz (Ding et al., 2017). In addition, it is often argued that the AM of music tends to be more temporally regular or isochronous than speech (Kotz et al., 2018). Based on these insights, we hypothesized that the AM temporal features of an acoustic signal, especially its peak rate and regularity, are critical factors that determine whether a signal will be categorized as speech or music. Here we parametrically manipulated (i) the AM peak frequency (0.6 – 6.0 Hz) and (ii) the AM regularity to generate a variety of signals with varying AM envelopes. The AM envelopes were synthesized with an identical broadband low-noise noise carrier sound. Each stimulus is an amplitude modulated noise excerpt with manipulated AM features. More than 300 participants have taken part in two online behavioral experiments. On each trial, they listened to one of the generated stimuli and were prompted to make a binary judgment on whether it sounds more like a “speech” or a “music” recording. The preliminary results support the hypothesis that, across participants, the sound excerpts with slower peak AM rate and more temporally regular AM were more likely to be judged as music. These factors appear to have around 25-30% of explanatory power, suggesting that the amplitude envelope alone is essential to differentiate speech and music. To the best of our knowledge, this is the first study showing that the AM temporal features are critical low-level factors of determining a sound to be interpreted as speech or music.;;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%9329%20chang.mp4?vrtx=view-as-webpage;
35;1;3;Anne Danielsen, Martin Langerød, Kristian Nymoen and Justin London;Genre expertise modulates timing perception and micro-level synchronization to auditory stimuli;"P-center
Synchronization
Timing
Musical genre
Musical expertise";"Background and Aims
When musicians play in synchrony it may be with greater or lesser precision. Musical expertise is generally regarded as improving of precision of both perception and performance (e.g., Repp & Doggett 2007; Cameron & Grahn 2014; Manning, Harris, & Schutz,2017). Is this rhythmic expertise generic, or is it tied to the particular style(s) and genre(s) of one’s musical enculturation? We investigated effects of genre-specific musical expertise on micro-level timing and synchronization, asking: Do expert musicians from different musical genres perceive and/or synchronize differently to familiar vs. unfamiliar musical sounds?  

Methods
60 expert musicians/producers were recruited from three genres: Jazz (N=21), Folk (N=19) and EDM/HipHop (N=20). Stimuli were in three categories: 4 quasi-musical sounds (“Neutral”), 4 from jazz and folk (“Organic”), and four from EDM/hip-hop (“Electronic”). Each category balanced the acoustic factors of attack (slow/fast) and duration (short/long) in a 2 x 2 design. Participants had two tasks: click alignment (via the method of adjustment) and tapping with claves. Dependent variables were the mean location and variability of the clicks and taps.

Results
As in our previous research (Danielsen et al. 2019, London et al. 2019), slow attack and long duration lead to later click/tap placement and higher variability (all p<0.001) in both tasks. A mixed RM ANCOVA showed significant effects of Stimulus Category, Participant Group, and a significant interaction for both dependent measures (all p≤0.001). Post-hoc tests show that folk and jazz musicians synchronize differently to the Organic sounds than the producers in both tasks (mean click/tap is 40 ms later for folk and 20 ms later for jazz musicians), and higher click/tap variability (11 and 9 ms, respectively). 

Conclusions
Genre expertise effects our generic, low-level perceptions of sounds as well as their affordance(s) for action/synchronization. The differences we found between participant groups was mainly driven by responses to the slow-long fiddle sound, a sound with strong associations to the Scandinavian fiddle music, suggesting top-down influence on bottom-up sensorimotor processing. When the sounds invoke a genre affiliation and/or the relevant musical task requires or affords rhythmic flexibility, as in a Norwegian Telespringar (Bengtsson 1974; Johansson 2010), then genre-related timing expectations, stylistic rules, and task-specific habits become relevant and influence both the perception and production of what the “correct” timing should be. 


References
Bengtsson, I. (1974). On notation of time, signature and rhythm in Swedish polskas. In G. Hilleström (Ed.), Studia instrumentorum musicae popularis III (pp. 22-31). Stockholm: Musikhistoriska museet/Nordiska Musikförlaget.

Cameron, D. J., & Grahn, J. A. (2014). Enhanced timing abilities in percussionists generalize to rhythms without a musical beat. Frontiers in Human Neuroscience, 8, 100.

Danielsen, A., Nymoen, K., Anderson, E., Câmara, G. S., Langerød, M. T., Thompson, M. R., & London, J. (2019). Where is the beat in that note? Effects of attack, duration, and frequency on the perceived timing of musical and quasi-musical sounds. Journal of Experimental Psychology: Human Perception and Performance, 45(3), 402-418.

Johansson, M. (2010b). The Concept of Rhythmic Tolerance – Examining Flexible Grooves in Scandinavian Folk-fiddling. In A. Danielsen (Ed.), Musical Rhythm in the Age of Digital Reproduction (pp. 69-84). 

London, J., Nymoen, K., Langerød, M. T., Thompson, M. R., Code, D. L., & Danielsen, A. (2019). A comparison of methods for investigating the perceptual center of musical sounds. Attention, Perception, & Psychophysics, 81(6), 2088-2101.

Manning, F. C., Harris, J. & Schutz, M. (2017). Temporal prediction abilities are mediated by motor effector and rhythmic expertise. Experimental Brain Research, 235(3), 861–871.
 
Repp, B. H., & Doggett, R. (2007). Tapping to a very slow beat: A comparison of musicians and non-musicians. Music Perception, 24(4), 367–376.";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%9335%20danielsen-london-genre-expertise.mp4?vrtx=view-as-webpage;
86;1;4;Cecilie Møller, Jan Stupacher, Alexandre Celma-Miralles and Peter Vuust;Beat perception in polyrhythms: Units of time come in pairs;"tempo perception
beat perception
subdivisions
metrical structure
polyrhythms";"The capacity for beat perception in music requires that the listener extracts at least two levels of a rhythm’s metrical hierarchy, i.e. the regular beat and its subdivisions (London, 2002). In the special case of polyrhythms, two or more mutually exclusive metrical hierarchies co-exist, yet the listener hears only one salient beat. The number of subdivisions within a polyrhythm cycle is defined by the least common denominator of the constituent isochronous pulse trains, and the beat level depends on the grouping of those subdivisions. For instance, the simplest 2:3 polyrhythm contains six grid points at the subdivision level, and the metrical structures underlying the slow (2) and fast (3) pulse trains contain ternary and binary subdivisions, respectively.

Here, we used polyrhythms to investigate the extent to which subdivision grouping is related to beat perception. In two online finger-tapping experiments, participants tapped in time with the perceived beat of (i) 2:3 and 3:4 polyrhythms in a wide range of tempi (n = 100), and (ii) polyrhythms with increasing levels of complexity, i.e., 2:3, 2:5, 3:4, 3:5, 4:5, 5:6 (n = 120). Using the Rayleigh test for circular statistics, participants’ consistent tapping responses were assigned to one of several possible beat categories, including slow and fast pulse trains and their half- and double-time equivalents. We hypothesized that participants would prefer to tap in time with a beat containing simpler subdivision grouping, i.e., they would prefer binary grouping over ternary grouping, and ternary grouping over irregular grouping of subdivisions.

Consistent with this main hypothesis, results of both experiments reflected tapping preferences for pulse trains containing simpler subdivision grouping. In the first experiment, response distributions were centered between 90 and 142 BPM, corresponding to the human preferred motor tempo (Parncutt, 1994). Notably, these response distributions were only observed within pulse trains containing binary subdivisions, i.e., the fast and slow pulse trains in the 2:3 and the 3:4 polyrhythms, respectively. The vast majority of participants consistently avoided ternary subdivisions. Their strategy was to metrically restructure the polyrhythm when tapping rates were too fast or too slow. Here, binary subdivision groupings were maintained by grouping cycles together and/or engaging in half- or double time tapping. Similar metrical restructuring was evident in the second experiment using more complex polyrhythms. Here, the preference for simpler subdivision groupings faded, however, as the polyrhythms required grouping of more than four subdivisions, suggesting that subdivision grouping predicts beat perception only below this limit. Closer inspection of the temporal aspects of the stimuli revealed that tapping preference transition points were tightly linked to the tempo of the subdivisions, rather than to the tempo of the pulse trains. 

In conclusion, beat perception in polyrhythms is constrained not by the tempo of the beat itself, but by the tempo of the subdivisions underlying it. We have a propensity towards beats containing binary subdivisions. These findings add important and yet neglected nuance to the understanding of temporal aspects of beat perception. 



References:
London, J. (2002). Cognitive Constraints on Metric Systems: Some Observations and Hypotheses. Music Perception, 19(4), 529–550. https://doi.org/10.1525/mp.2002.19.4.529

Parncutt, R. (1994). A Perceptual Model of Pulse Salience and Metrical Accent in Musical Rhythms. Music Perception, 11(4), 409–464. https://doi.org/10.2307/40285633";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%9386%20moeller.mp4?vrtx=view-as-webpage;
89;1;5;Ji Chul Kim and Edward W. Large;A canonical modeling framework for rhythmic movement coordination and learning;"Bimanual coordination
Multifrequency coordination
Dynamical systems
Hebbian learning
The HKB model";"Haken, Kelso and Bunz’s (1985) model, commonly known as the HKB model, is a paradigmatic model for the bistability and transition in rhythmic hand movements, which has been extended to account for multifrequency coordination (Haken et al., 1996) and learning (Schöner, Zanone, & Kelso, 1992). The HKB model describes coordinated movements at the level of the collective variable, relative phase, which is derived from the equations of component oscillators representing the movements of individual hands. The equation of motion for relative phase is simple and easily expandable, with each term expressing a different mode of coordination (i.e., a different phase and frequency relationship). However, the equations of component oscillators (e.g., the van der Pol equation) are less transparent, typically with a single nonlinear coupling function accounting for multiple modes of coordination, and thus sophisticated mathematical procedures are required to obtain the equation of relative phase from the component-level equations.

Here we present an alternative modeling framework that captures the component-level dynamics of coordinated movements with a simple and transparent model. From the equations of component oscillators (e.g., the van der Pol equation), we derive a simple component-level model in which autonomous oscillations are represented as a circular limit cycle on the complex plane. This component-level model is called “canonical” in the sense that various equations of limit-cycle oscillation used to model rhythmic movements can be transformed to it via a continuous change of variables (Hoppensteadt & Izhikevich, 1997). The canonical model captures the dynamics of individual coordination modes with distinct coupling terms, as does the HKB equation of relative phase, but at the level of component oscillators. The isolation of individual modes (or resonant relations) makes the canonical model highly tractable, allowing close analysis of the component-level dynamics, and renders it easily expandable to complex architectures. Also, Hebbian plasticity can be incorporated to the dynamics of the canonical model (Kim & Large, 2021). The evolution of each coupling coefficient according to a Hebb’s rule models the learning (and forgetting) of an individual mode of coordinated movements.

To validate, we first show that the component-level canonical model exhibits the characteristic dynamic behaviors captured by the original HKB model and its extensions, including bistability in bimanual coordination, transition and critical slowing down at the critical frequency, and the relative stability of different modes of multifrequency coordination. We then demonstrate that the canonical model can be flexibly applied to complex experimental situations, with a replication of empirical findings on the acquisition and long-term retention of multifrequency (3:1) bimanual coordination (Park, Dijkstra, & Sternad, 2013).

References

Haken, H., Kelso, J. A. S., & Bunz, H. (1985). A theoretical model of phase transitions in human hand movements. Biological Cybernetics, 51(5), 347–356.
Haken, H., Peper, C. E., Beek, P. J., & Daffertshofer, A. (1996). A model for phase transitions in human hand movements during multifrequency tapping. Physica D: Nonlinear Phenomena, 90(1–2), 179–196.
Hoppensteadt, F. C., & Izhikevich, E. M. (1997). Weakly connected neural networks. New York: Springer-Verlag.
Kim, J. C., & Large, E. W. (2021). Multifrequency Hebbian plasticity in coupled neural oscillators. Biological Cybernetics. doi: 10.1007/s00422-020-00854-6
Park, S.-W., Dijkstra, T. M. H., & Sternad, D. (2013). Learning to never forget—Time scales and specificity of long-term memory of a motor skill. Frontiers in Computational Neuroscience, 7, 111.
Schöner, G., Zanone, P. G., & Kelso, J. A. S. (1992). Learning as change of coordination dynamics: Theory and experiment. Journal of Motor Behavior, 24(1), 29–48.";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%9389%20kim-large%20canonical%20modeling.mp4?vrtx=view-as-webpage;
10;1;6;Jonathan Cannon;Bayes-optimal rhythm perception;"Model
Dynamic Attending Theory
Entrainment
Predictive processing";"Is there an “optimal” way to parse a rhythm? Following the “predictive processing” / Bayesian brain ansatz, I argue that the process of rhythm perception can be viewed as dynamic inference of a hidden state based on sensory observations and a model of how the hidden state produces sensation. The hidden state is the rate and progress (or, in the case of periodic rhythms, phase and tempo) of an underlying temporal stream. The sensory observations are the timing of discrete sensory events. And the model combines enculturated metrical expectations with learned expectations for external or internal timing noise. Viewed in this way, the “objective” of rhythm perception is to continuously maintain the best possible estimate of phase and tempo, including the level of uncertainty about both, which can then be used to anticipate future events with appropriate levels of precision.

When this inference problem (Phase And Tempo Inference from Point Process Event Timing, or PATIPPET) is stated formally, solved approximately using variational Bayes, and simulated, it mimics human rhythm perception, both at a gross level and in various experimentally identified nuances. These include reinterpreting certain overly syncopated rhythms, perceiving illusory accelerations when expected events are omitted, and making larger error corrections during entrainment to slower rhythms, all phenomena that are not adequately addressed by existing models.

As a model of cognition and behavior, PATIPPET provides a normative framework for the insights of Dynamic Attending Theory [1] while introducing a novel role for dynamic temporal uncertainty. It points towards new ways of quantifying culture-specific rhythmic prototypes and new ways of breaking perceptual and motor entrainment measures into cognitively meaningful components. And it offers a mathematically rigorous “active inference” lens for understanding the rhythm-tracking advantage granted by tapping and other movement.

[1] Large, E. W., & Jones, M. R. (1999). The dynamics of attending: How people track time-varying events. Psychological Review, 106(1), 119–159.";https://youtu.be/We75kiiovPA;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%9310%20cannon%20bayes-optimal.mov?vrtx=view-as-webpage;
118;1;7;Julien Laroche, Alice Tomassini, Luciano Fadiga, Antonio Camurri, Gualtiero Volpe and Alessandro D'Ausilio;Driving the rhythm « head on »: violinists' intra-body coordination depends on their inter-body coupling within the orchestra;"intrapersonal coordination
head movement
embodied rhythm
multiscale
musical ensemble";"More and more attention is being devoted to the study of behavioral coupling across bodies (i.e. how people coordinate the timing of their actions). This interest often reﬂects the assumption according to which individual actions depend on the behavior of others as well as on the dynamics of the group itself. Yet, few studies have addressed how group dynamics do inﬂuence intra-body coordination. The musical ensemble is a privileged and ecological context to dig into such an issue: performers are coupled in a multimodal fashion (mainly audio-visually, with a particular importance of vision when a conductor drives an orchestra) and their task requires the coordination of several parts of their bodies. Plus, musicians often exhibit supplementary gestures (e.g. head movements) that are deemed « ancillary », in the sense that they do not participate to the instrumental production of the sound. Rather, they are generally attributed with expressive and communicative purposes. We propose that this distinction (ancillary versus instrumental) is more blurry than currently (implicitly) assumed. More precisely, we hypothesize that, instead of being mere expression of action (destined to be communicated to others), non-instrumental body movements can play a constitutive role in the coordination of musical action. In other words, we propose that the body provides cues that can reinforce and stabilize information received from other modalities and/or other performers and even compensate for missing information when the group dynamics are perturbed.

To gauge the inﬂuence of group dynamics on intra-body coupling and the role of non-instrumental gestures in the coordination of musical performance, we captured the motion of the bow and the head of (ﬁrst-section) violinists playing a piece along other members of a conducted orchestra. We more speciﬁcally contrasted two experimental conditions : 1) Normal (habitual spatial disposition of the musicians) 2) Perturbed (violonists of the ﬁrst section turned their back on the conductor and faced the second section of violins). In virtue of the role of vestibular stimulations in the perception of rhythm, we expected violinists to compensate for the lack of visual rhythmic cues from the conductor in the perturbed condition with an increased coupling between head and bow movements.

We ﬁrst conﬁrmed our hypothesis using windowed cross-correlations. Then, spectral analysis helped uncover a strategical change in head movements. In normal situation, head movements were articulating the metrical level of a whole note, while in perturbed condition they got more complex by articulating multiple musically-relevant timescales (from whole to eight note), thus resembling the rhythmicity of the bow more. Phase analysis conﬁrmed the increase in coupling at salient frequencies of movement. Head movements, by embodying the temporality of musical actions, can thus play a functional and supporting role in the performance itself, and they do so through their coupling with gestures that are more directly instrumental in nature. Overall, this shows how the coupling dynamics at the group level impacts intra-body coupling.";https://youtu.be/SlL15k5SgsU;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%93118%20laroche.mp4?vrtx=view-as-webpage;
128;1;8;Kathryn Franich;How we speak when we speak to a beat;"Speech
Stress
Environmental coupling
Metronome synchronization
Cross-linguistic variation
African languages";"Introduction: Environmental coupling leads to increased movement amplitude in studies of
hand and limb movement [1,2], but little work has investigated the extent to which coupling
changes qualitative properties of speech. We investigate how speaking in-phase vs. out-of-phase
with a metronome influences speech production measures of syllable/vowel duration,
fundamental frequency, and amplitude in two languages with distinct rhythmic profiles, US
English, and Medʉmba, a Grassfields Bantu language. English is a stress-timed language where
lexical stress is cued through increased syllable duration and amplitude and more extreme
fundamental frequency. Medʉmba is a syllable-timed lexical tone language which shows no
evidence of lexical stress, though phonological restrictions suggest that word-initial syllables
bear greater prosodic prominence than non-initial syllables.
Method: A synchronization-continuation paradigm was used in which speakers of the two
languages repeated words and short (2-4 syllable) phrases with different stress/prosodic patterns
in time with a metronome. Speakers heard four beats of the metronome before initiating speech
on the fifth beat, repeating four times with the metronome, and continuing for four more ‘beats’
once the metronome ceased. On half the trials, participants were instructed to align the first
syllable of the word/phrase with the metronome beat; on the other half, they were asked to align
the first syllable just after the beat, on the ‘offbeat’ of the metronome. Trials were blocked by
phasing strategy (onbeat/in-phase vs. offbeat/out of phase); blocks were randomized by subject.
Results: English speakers generally preferred to align stressed syllables with the metronome,
regardless of their position. Linear mixed effects models used to analyze English data included
fixed effects of PHASING (onbeat/offbeat), POSITION (initial/medial/final), and STRESS
(stressed/unstressed); for Medʉmba data TONE (high/low) was used instead of stress. By-subject
random effects were also incorporated for both language models. Preliminary data from 10
speakers of each language revealed a significant effect of PHASING on vowel duration in English
(p<.001), with longer overall duration in the onbeat condition. An interaction between PHASING
and STRESS revealed that this effect was only significant for stressed syllables, however (p<.01),
suggesting that phasing did not affect overall word/phrase durations in the task (Fig 1). In
Medʉmba, vowels produced onbeat were also found to be longer (p<.01); an interaction between
PHASING and word/phrase POSITION revealed that vowels in initial position were more likely to be
lengthened in the in-phase condition (p<.05) (Fig 2). In both languages, f0 was found to be
overall very slightly lower in the onbeat condition (ps<.05). No effect of phasing was found on
intensity in either language.
Discussion: Metronome-coupled speech shows striking similarities across languages, most
notably evidenced by increased duration on in-phase coupled syllables across both languages.
Rhythmic-prosodic structure of the language played a role, however: English speakers strongly
preferred to align stressed syllables, regardless of position, to the metronome, while Medʉmba
speakers consistently aligned word/phrase initial syllables with the metronome, even in a subset
of English loanwords with non-initial stress. Our results may shed light on the nature of stress
typology more broadly, particularly with respect to the commonness of duration as a cue to stress
cross-linguistically.";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%93128%20franich.mp4?vrtx=view-as-webpage;
14;1;9;Kjell Andreas Oddekalv;Verses in verses – convergent and divergent metrical structure in rap flows;"Metre
Musical structure
Music analysis
Rap
Lineation";"A common way of transcribing rap lyrics for musical and/or literary analysis is by aligning the lyrics to the musical metrical structure – the bars. Whether this stems from a goal of representing one music rhythmic parameter in a format otherwise devoid of musical information, or is an attempt to formalise the most common metrical structure in transcription is hard to tell, but the practice brings more questions than answers. This paper tackles some of these questions.
In rap music, the most common relationship between musical and poetic metrical spans – musical bars and poetic lines (typically referred to as ‘verses’ in literary theory) – is a convergent one. One poetic line spans one musical bar, with a rhyme placed on (or near) the fourth beat . A structure this paper will refer to as convergent metrical structure, from the convergence of the two metrical spans. However, it is common (increasingly so throughout hip-hop’s history) that this convergence is deviated from, both to lesser and greater degrees. When the metrical spans do not coincide, there is some sort of divergent metrical structure.
The prevalence of convergent metrical structure might lead one to believe that there is some sort of structural causal relationship for this overlap, and that musical metre has a type of gravity to it – a gravitic force forcing the poetic lines to adhere to it . This paper will argue that this is not the case. Without other evidence for lineation , like syntax and rhyme placement, supporting it, musical metre has little to no bearing on a listeners experience of poetic lines. Convergent metrical structure is a convention, not a result of musical metre’s gravitic force.
The paper will show examples of various types of divergent metrical structure, from the mild to the severe, from slight divergences to completely ‘polymetric’ structures. Additionally it will present an approach to visual representation of rap flows that highlights both musical and poetic metrical spans, as well as their interaction.
This paper can be considered for either oral or poster presentation.

Condit-Schultz, N. (2016). MCFlow: A Digital Corpus of Rap Transcriptions. Empirical Musicology Review, 11(2), 124-147. doi:10.18061/emr.v11i2.4961
Fabb, N. (2002). Language and literary structure : the linguistic analysis of form in verse and narrative. Cambridge: Cambridge University Press.
Katz, J. (2008). Towards a generative theory of hip-hop. Paper presented at the Music, Language, and the Mind, Medford MA. 
Mattessich, J. J. (2019). This Flow Ain’t Free: Generative Elements in Kendrick Lamar’s To Pimp a Butterfly. Music Theory Online, 25(1). doi:10.30535/mto.25.1.11
Ohriner, M. (2016). Metric Ambiguity and Flow in Rap Music: A Corpus-Assisted Study of Outkast's ""Mainstream"" (1996). Empirical Musicology Review, 11(2), 153-179. doi:10.18061/emr.v11i2.4896";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/posters/%E2%9C%9314%20oddekalv.webm?vrtx=view-as-webpage;
