;;;;Videos are uploaded here: https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/talks/;Videos are named with the EasyChair number followed by the first author's last name. ;;;;;;
;;;;Thomas/Wenbo: The columns with session name and chair is mostly relevant for the website (which Stephen is working on);;;;;;;
;EasyChair#;Session name;Session Chair;authors;title;keywords;abstract;YouTube link;Vortex link;Comment;
;38;Entrainment Symposium (E3);Hugo Merchant;Caroline Palmer and Alexander Demos;Explaining entrainment and synchrony with predictive coding and dynamical systems;"entrainment
anticipatory synchronization
predictive coding
dynamical systems";"Background: Humans entrain easily to intricate musical sequences. Entrainment processes allow us to perceive and produce quasi-rhythmic sound sequences. When musicians time their productions to synchronize or align with sound, they must anticipate future events in order to prepare movements, as movement preparation is often slower than the rate of musical events. A striking feature is the tendency to act sooner than the sound with which one synchronizes; musicians produce tones about 30-50 ms sooner than a regular auditory beat, and nonmusicians anticipate even sooner (50-80 ms) (Repp & Siu, 2015). We contrast two prominent theories that offer different mechanisms for this anticipatory synchronization. One is predictive coding (PC) and the other is dynamical systems (DS). We discuss their assumptions and computational differences, and applications to the case of musical synchronization.  

Findings: Several variables influence our ability to synchronize actions with musical sound. Musically trained individuals show smaller asynchronies (difference between produced tone onsets and observed stimulus onsets) than untrained individuals. The more sensory feedback available from self-generated and external auditory outcomes, the smaller the asynchrony error. Finally, the more regular the sequence, the smaller the asynchrony variability. Mean and variance measures of asynchrony are used by PC and DS models in different ways, to be discussed.	

Predictive Coding. Early precursors to predictive coding proposed internal modeling of future events, based on representations of the mapping between perception and action (Clark, 2013). Internal models of motor commands (Wolpert et al., 1995) and mental simulations of partners' joint actions (van der Steen & Keller, 2013) compare model predictions with stimulus input, and the internal model is adjusted for discrepancies. Recent PC theories also compute the difference between internal models and perceived events (Friston, 2018), with a goal to minimize the entropy (the inverse of predictability) of predictions relative to future outcomes. We will discuss musical applications of PC models that rely on Bayesian inference to update internal models (Heggli et al., 2019; Vuust & Witek, 2014). 

Dynamical Systems. Synchronization arises in DS theories when oscillators that are self-sustaining couple (share information, causing them to adapt). The self-sustaining nature of oscillators is supported by neural representations of musical pulse from MEG recordings that continue in the absence of the stimulus (Tal et al., 2017). When an oscillator is momentarily disturbed by input, it soon returns to its original frequency (Large at al, 2002). In the presence of a rhythmic stimulus, an oscillator will resonate (adapt its phase and/or frequency to the stimulus) when the oscillator's natural frequency is close to the stimulus frequency, or the coupling between oscillator and stimulus is strong. We will discuss musical applications of DS models that rely on time-delayed coupling to explain anticipatory synchronization (Demos et al., 2019; Roman et al., 2019). 
PC and DS models offer explanations of synchrony and entrainment that differ in where the computations arise and how prior likelihoods and internal models are used. Machine learning and mathematical tools may help clarify the utility of each theory.";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/talks/38-palmer.mp4?vrtx=view-as-webpage;Video uploaded to Vortex (Tuesday);
;88;Entrainment Symposium (E3);Hugo Merchant;Troby Ka-Yan Lui, Jonas Obleser and Malte Wöstmann;Exploring the temporal rhythmicity in distractor suppression;"Distraction suppression
Temporal rhythmicity
Auditory Attention
Working memory";Task-relevant cognitive processes, such as attention and working memory, are susceptible to distraction. While attention has been consistently demonstrated to operate in a rhythmic manner, the temporal rhythmicity in distractor processing is less well studied. We will present two recent studies on whether our cognitive vulnerability to distraction is rhythmic. First, using an Irrelevant-Speech task, we probed the rhythmicity of working memory interference by speech distractors of variable onsets during memory retention. Participants (N = 23) were asked to memorise a sequence of nine digits presented in random order. During the ensuing retention period, an irrelevant sentence was presented as a distractor at a random onset drawn from a uniform distribution. Results showed that the onset time of the distractor rhythmically modulated recall accuracy of the digit sequence and the distractor-evoked N1 event-related potential (ERP) component in the electroencephalogram (EEG). Critically, accuracy and N1 amplitude were co-modulated by a ~2.5 Hz rhythm. Second, we investigated how temporally-varied distractor tones impact neural and behavioural responses in a pitch discrimination task. Participants (N = 30) compared the pitch of two target pure tones and ignored a 25-Hz modulated tone sequence presented in between the targets. Both perceptual sensitivity (d’) and the distractor-evoked ERP amplitude were modulated by time of distractor onset. Correlation analyses revealed a correspondence between behavioural and neural distractor-evoked responses. We discuss the implications of these results for the view that similar to attentional selection, distractor suppression follows a temporal trajectory.;;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/talks/88%20lui.mp4?vrtx=view-as-webpage;;
;97;Entrainment Symposium (E3);Hugo Merchant;Edward Large and Ji Chul Kim;Resonance, synchronization, and entrainment: What, why, and how?;"oscillation
rhythms
resonance
synchronization
entrainment
nonlinear systems";"Entrainment can be defined as the response of one or more oscillations to an external rhythm, bringing the oscillation(s) into synchrony with the rhythm. In behavioral entrainment individuals coordinate movements with stimuli such as isochronous rhythms, music, and speech. Neuronal entrainment, in which action potentials or local field potentials entrain to rhythmic stimuli, is important in the perception of music and musical rhythm, in the perception and intelligibility of speech, and in attention more generally.
In synchronization, oscillations are coupled bidirectionally and exert mutual influence on one another. Behavioral synchronization can be observed in the coordination of limbs and in coordination among individuals. Synchronization of anatomically distributed neuronal networks is necessary for behavioral synchronization, and more generally is thought to underlie large scale functional integration during complex activities such as speaking or reading.
In classical physics, resonance refers to the response of a (linear) system that does not exhibit a stable limit cycle in the absence of a rhythmic stimulus. In synchronization of nonlinear oscillators, resonance refers to an integer ratio frequency relationship, i.e. k:m, where k and m are integers. A linear system cannot exhibit a stable limit cycle, and only responds at stimulus frequencies. However, some nonlinear systems do not exhibit stable limit cycles, but do produce integer ratios and combination frequencies when stimulated. Thus, resonance is the most general category that includes both linear and nonlinear systems, systems with and without spontaneous oscillations, and systems that exhibit both phase-locking (1:1) and mode-locking (k:m). 
This is why we call our approach “neural resonance theory,” not “neural entrainment theory.” In this talk, I will detail what the phenomena are, describe why they are important, and discuss how to identify each in your data.";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/talks/97-large-1030.mp4?vrtx=view-as-webpage;Video uploaded to Vortex Wednesday morning (we're going for the 10:40);
;129;Entrainment Symposium (E3);Hugo Merchant;Dobromir Dotov, Abraham Betancourt, Jorge Gámez and Hugo Merchant;Neural resonance in the primate premotor cortices during the motor preparation stage of a synchronization task with discrete periodic stimuli;"animal model
anticipation
entrainment
neural dynamics
resonance";"Humans and other animals need to coordinate their actions with predictable structure present in the environment. The neural substrates of such skill can be investigated by training primates to tap along with a periodic stimulus. Single cells in the medial areas of the premotor cortex (MPC) encode the duration and serial order of rhythmic intervals. Properties of the population state trajectory such as its amplitude are also related to the interval of rhythmic tapping (Gámez, Mendoza, Prado, Betancourt, & Merchant, 2019). Such state trajectories are observed because the activities of individual cells are correlated, resulting in lower-dimensional dynamic manifolds over populations of neurons. We investigated the spiking profile of single cells from MPC and their population dynamics while two monkeys (Macaca mulatta) were in the passive, perceptual stage of a listen-then-synchronize task. The periodic stimuli consisted of discrete visual or auditory signals with a sub-second interval. Population activity exhibited an oscillatory profile with an anticipatory rise time and peaks locked to the stimulus. Importantly, the amplitude of each cycle increased from baseline to maximum over successive beats until the monkey began tapping. From a formal perspective, this is consistent with a resonance model of regularity detection rather than with models positing that intrinsically periodic activity is being phase-aligned with the stimulus. Additionally, we investigated the dimensionality of population activity by way of the loadings from principal component analysis. We found evidence both for high-dimensional activity with power-law scaling as reported previously in visual cortices but also for a low-dimensional oscillatory component emerging over background activity.

References
Gámez, J., Mendoza, G., Prado, L., Betancourt, A., & Merchant, H. (2019). The amplitude in periodic neural state trajectories underlies the tempo of rhythmic tapping. PLoS Biology, 17(4), e3000054.";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/talks/129-dotov.mp4?vrtx=view-as-webpage;Video uploaded to Vortex (Tuesday afternoon);
;52;"Entrainment (E1) 
";Jessica Grahn;Mattia Rosso, Marc Leman and Lousin Moumdijan;Neural entrainment meets behavior: the stability index as a neural outcome measure of auditory-motor coupling;"Entrainment
Auditory-motor coupling
Rehabilitation
EEG
Eigendecomposition";"Understanding rhythmic behavior in the context of coupled auditory and motor systems has been of interest to neurological rehabilitation, in particular to facilitate walking. Recent work based on behavioral measures revealed an entrainment effect of auditory rhythms on motor rhythms. In this study, we propose a method to compute the neural component of such process from an EEG signal. 
A simple auditory-motor synchronization paradigm was used, where 28 healthy participants were instructed to tap along to metronomes. The computation of the neural outcome measure was carried out in two blocks. In the first block, we used Generalized Eigendecomposition to reduce the data dimensionality to the component which maximally entrained to the metronomes. The scalp topography pointed at brain activity over the contralateral sensorimotor regions. In the second block, we computed instantaneous frequency from the analytic signal of the extracted component. This returned a time-varying measure of frequency fluctuations, whose standard deviation provided our ‘stability index’ as neural outcome measure of auditory-motor coupling. Finally, the proposed neural measure was validated by conducting a correlation analysis with a set of behavioural outcomes from the synchronization task: resultant vector length, relative phase angle, mean asynchrony and tempo matching.
Significant moderate negative correlations were found with the first three measures, suggesting that the stability index provided a quantifiable neural outcome measure of entrainment, with selectivity towards phase-correction mechanisms. 
We address further adoption of the proposed approach especially with populations where sensorimotor abilities are compromised by an underlying pathological condition. The impact of using stability index can potentially be used as outcome measure to assess rehabilitation protocols, and possibly provide further insight into neuropathological models of auditory-motor coupling.";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/talks/52%20rosso.mp4?vrtx=view-as-webpage;;
;61;"Entrainment (E1) 
";Jessica Grahn;Benjamin Morillon and Arnaud Zalta;Prominence of delta oscillatory rhythms in the motor cortex and their relevance for auditory perception;"audio-motor coupling
groove
entrainment
natural rhythms
human neurophysiology";"Temporal predictions are fundamental instruments for facilitating sensory selection, allowing humans to exploit regularities in the world. Recent evidence indicates that the motor system instantiates predictive timing mechanisms, helping to synchronize temporal fluctuations of attention with the timing of events in a task-relevant stream, thus facilitating sensory selection. Accordingly, in the auditory domain auditory-motor interactions are observed during perception of speech and music, two temporally structured sensory streams. I will present a behavioral and neurophysiological account for this theory and will detail the parameters governing the emergence of this auditory-motor coupling, through a set of behavioral and magnetoencephalography (MEG) experiments.
I will first review the prominence of delta (~2 Hz) oscillatory rhythms in the motor cortex and show that they constraint the interaction between motor and auditory systems. At this rate –and this rate only– overt rhythmic movements sharpen the temporal selection of auditory stimuli, thereby improving performance. 
I will next show that the implication of the motor system during auditory perception depends also on the temporal predictability of the sensory stream. Behaviorally, the feeling of groove induced by a melody –i.e. the wanting to move during passive listening– strongly depends on its temporal predictability. MEG results reveal that auditory and motor regions have a distinctive sensitivity to auditory temporal dynamics, with motor areas being more flexible in their ability to track temporal information.
Together, these findings are compatible with active sensing theories, emphasizing the prominent role of motor areas in sensory processing, which are notably implicated in the analysis of contextual temporal information.";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/talks/61%20morillon.mp4?vrtx=view-as-webpage;;
;9;"Entrainment (E1) 
";Jessica Grahn;Jonathan Cannon and Aniruddh Patel;The shared predictive roots of motor control and beat-based timing;"Beat-based timing
Motor system
Basal ganglia
Active inference
Neuroscience
Neurophysiology
Predictive processing";"fMRI results have shown that the supplementary motor area (SMA) and the basal ganglia, most often discussed in their roles in generating action, are engaged by beat-based timing even in the absence of movement. Some have argued that the motor system is “recruited” by beat-based timing tasks due to the presence of motor-like timescales, but a deeper understanding of the roles of these motor structures is lacking. Reviewing a body of motor neurophysiology literature and drawing on the “active inference” framework [1], I argue that we can see the motor and timing functions of these brain areas as examples of dynamic sub-second prediction informed by sensory event timing. I hypothesize that in both cases, sub-second dynamics in SMA predict the progress of a temporal process outside the brain, and direct pathway activation in basal ganglia selects temporal and sensory predictions for the upcoming interval -- the only difference is that in motor processes, these predictions are made manifest through motor effectors. Convergent evidence suggests that dopaminergic signaling may represent the certainty of these predictions, modulating the balance of top-down and bottom-up influences. If we can unify our understanding of beat-based timing and motor control, we can draw on the substantial motor neuroscience literature to make leaps forward in the study of predictive timing and musical rhythm.

[1] Adams, R. A., Shipp, S., & Friston, K. J. (2013). Predictions not commands: Active inference in the motor system. Brain Structure and Function, 218(3), 611–643.";;https://www.uio.no/ritmo/english/news-and-events/events/conferences/2021/RPPW/videos/talks/9%20cannon%20The%20shared%20predictive%20.mov?vrtx=view-as-webpage;;
